,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
627,Adams Court-A,Yes,Multifamily Housing,415 River Street,02126,48580,56.4,88,,"Multifamily Housing, Parking",1965.0,174.6,3.6,2739324.2,24%,76%,0%,62.54013997529848,,,,1801010000 1801012000
628,Fairlawn Apartments,Yes,Multifamily Housing,15 Bismarck Street,02126,287748,78.4,94,,"Multifamily Housing, Parking",1968.0,1698.1,5.9,22549895.2,5%,0%,0%,54.75902525821205,,"This property includes 347 apartments with 12 buildings & 1 office.
15 Bismarck St.
2 Bismarck St.
4 Bismarck St.
6 Bismarck St.
785 Cummins Hwhy
795 Cummins Hwhy
20 Fairlawn Ave.
30-32 Fairlawn Ave
40 Fairlawn Ave
50 Fairlawn Ave
60 - 62 Fairlawn Ave
70 Fairlawn Ave
80 Fairlawn Ave",,1801980000
629,Olmsted Green Phase 3,Yes,Multifamily Housing,39 Sandpiper Lane,02126,49627,46,100,,"Multifamily Housing, Parking",2012.0,137.6,2.8,2285029.2,16%,84%,0%,41.26382815805912,,,,1405196980
630,Schoolhouse at Lower Mills,Yes,Multifamily Housing,40 River Street,02126,62136,10.2,Not Available,,"Multifamily Housing, Parking",2008.0,52.2,1,539232.5,100%,0%,0%,49.149156694619805,,Reporting was complete by both management utility logs and utility provider  ,,Not Available
631,50 West Broadway,Yes,Multifamily Housing,50 West Broadway,02127,250755,39.3,97,,"Multifamily Housing, Parking",2008.0,585,2.9,7898243,48%,52%,0%,,,,,0600022010
632,Carson Tower,Yes,Multifamily Housing,1410 Columbia Road,02127,116876,166.8,Not Available,,Multifamily Housing,1973.0,1035.2,8.9,19489840.5,0%,100%,0%,,,,,Not Available
633,South Boston Elderly,Yes,Multifamily Housing,120 H Street,02127,25500,1199.3,1,,Multifamily Housing,1985.0,1640.2,64.3,30581178,1%,99%,0%,72.58823529411765,,,,0602147000
634,South Boston Non-Profit Housing a.k.a Castle Cover Co-op,Yes,Multifamily Housing,225 West Second Street,02127,58304,69.5,70,,Multifamily Housing,1997.0,265.5,4.6,4051578.1,28%,72%,0%,,,,,0601507001
635,Tudor Place Condominium,Yes,Multifamily Housing,157 W. 6th St.,02127,60000,40.8,95,,Multifamily Housing,1989.0,180,3,2448959.5,47%,53%,0%,39.196666666666665,,,,600685010
636,West Square,Yes,Multifamily Housing,320 D Street,02127,348089,25.1,100,,"Multifamily Housing, Parking",2013.0,486.3,1.9,6433959.1,51%,49%,0%,13.072909156803984,,"Residents billed directly for gas and electric. 
Common area gas for building hot water and common area heat.

Building has a parking garage included in account.

Was issued the CO in phases.  Half of the building was completed in December 2013 and the other half was completed in April 2014.  We have just now reached stabilization- we are currently 92% occupied and 96% lease

Construction did not complete until April, water bill were not taken over by building until that time. ",,0601509010
637,Landfall West Apartments: 401 Border Street,Yes,Multifamily Housing,401 Border St,02128,38000,105.3,26,,Multifamily Housing,1976.0,252.3,6.6,4001385.2,23%,77%,0%,47.026315789473685,,,,0103613000
638,Maverick Landing II,Yes,Multifamily Housing,115 Sumner Street,02128,50000,109.7,20,,Multifamily Housing,1900.0,329,6.6,5484917.6,16%,84%,0%,55.456,,,,0105402010
639,Portside at East Pier,Yes,Multifamily Housing,50 Lewis Street,02128,198977,Not Available,Not Available,,"Multifamily Housing, Parking",2014.0,32,0.2,Not Available,0%,0%,0%,,,,,0104447000
640,Shore Plaza,Yes,Multifamily Housing,400-800 Border St,02128,297154,141.9,3,,Multifamily Housing,1975.0,2654.9,8.9,42160986.3,23%,77%,0%,74.9133445957315,,,,0103678000
641,Victory Gardens Apartments: 54 Orleans Street,Yes,Multifamily Housing,54 Orleans St,02128,124278,36.9,100,,Multifamily Housing,1979.0,283.1,2.3,4585618.3,20%,80%,0%,18.4859749915512,,,,0105343100
642,Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,02129,280000,26.6,99,,Multifamily Housing,1986.0,503.1,1.8,7452879.6,33%,67%,0%,10.690357142857144,,,,0203510175
643,CharlesNewtown,Yes,Multifamily Housing,89 Medford Street,02129,283936,157.6,1,,"Multifamily Housing, Parking",1971.0,3106.8,10.9,44744461.9,37%,63%,0%,92.12005522371238,,,,020273400002027400000202745000
644,Charlestown Navy Yard Rowhouses,Yes,Multifamily Housing,110 First Ave,02129,28820,7.7,100,,Multifamily Housing,1989.0,21.3,0.7,220568.5,100%,0%,0%,64.39625260235947,,,,0203517500
645,City Square Elderly Housing,Yes,Multifamily Housing,42 Park Street,02129,94970,54.9,97,,Multifamily Housing,1985.0,331.8,3.5,5212113.7,24%,76%,0%,41.34884700431715,,,,Not Available
646,Constellation Wharf Condominium,Yes,Multifamily Housing,Pier 7 Ninth Street,02129,163453,70.5,1,,"Multifamily Housing, Parking",1986.0,1114.4,6.8,11518830.6,100%,0%,0%,18.512355233614556,,,,203516001
647,Courtyard Condominium,Yes,Multifamily Housing,47 Harvard Street,02129,100000,22.6,100,,Multifamily Housing,1983.0,166.4,1.7,2263458.7,47%,53%,0%,28.557,,,,Not Available
648,Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,02129,590000,55.4,28,,Multifamily Housing,1989.0,2431.2,4.1,32669737.5,49%,51%,0%,14.025593220338983,,,,0203505100
649,Mezzo Design Lofts,Yes,Multifamily Housing,30 Caldwell Street,02129,123594,43.8,Not Available,,Multifamily Housing,2007.0,365.6,3,5415211.5,33%,67%,0%,37.973526222955805,,,,Not Available
650,"Mishawum Park: Bldgs 17, 18, and 20",Yes,Multifamily Housing,216 Main Street,02129,30425,55.4,98,,Multifamily Housing,1974.0,102.5,3.4,1686404.4,18%,82%,0%,46.734593262119965,,,,0202315000
651,"Mishawum Park: Bldgs 9,10,11, and 12",Yes,Multifamily Housing,290 Main Street,02129,98577,63.8,84,,Multifamily Housing,1974.0,411.9,4.2,6286777.7,28%,72%,0%,57.28313906895117,,,,0202390000
652,Parris Landing Condominium Trust: 42 8th Street,Yes,Multifamily Housing,42 8th Street,02129,600580,18.7,100,,Multifamily Housing,1979.0,867.7,1.4,11207019.4,56%,44%,0%,25.74028439175464,,,,0203506010
653,Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,02129,106393,29,85,,"Multifamily Housing, Office, Parking",1984.0,256,2.8,2646418.8,100%,0%,0%,27.326847525142536,,,,203515600
654,The Nautica Condominium Leasehold Trust,Yes,Multifamily Housing,1 Warren St,02129,239435,73.5,67,,"Multifamily Housing, Parking",2000.0,819.1,5.4,11096952.3,47%,53%,0%,60.454241374514,,,,Not Available
655,Zelma Lacey Assisted Living: 9 West School St,Yes,Multifamily Housing,9 W School St,02129,39384,106.7,5,,Multifamily Housing,2004.0,301.8,7.7,4202077.3,43%,57%,0%,67.0018281535649,,,,0202350000
656,183 Forest Hills St,Yes,Multifamily Housing,183 Forest Hills St,02130,66828,75.2,99,,Multifamily Housing,1900.0,267.1,4,5028293.4,0%,100%,0%,22.52199676782187,,,,1102906000
657,Arborway Gardens Condominium,Yes,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",02130,150172,90.6,56,,Multifamily Housing,1950.0,770.3,5.1,13601800.5,8%,92%,0%,25.722504861092613,,,,1102640000
658,Back of the Hill Apartments L.P.,Yes,Multifamily Housing,100 South Huntington Avenue ,02130,119531,61.7,71,,Multifamily Housing,1978.0,489.5,4.1,7369977.2,30%,70%,0%,34.97837381097791,,,,1001490000
659,Brewery Lofts,Yes,Multifamily Housing,251 Heath St Pub,02130,86900,62,73,,Multifamily Housing,1000.0,370.9,4.3,5385127.9,36%,64%,0%,34.01611047180668,,,,1001480000
660,Commerce Apartments,Yes,Multifamily Housing,3115 Washington Street,02130,85510,90,25,,Multifamily Housing,1940.0,458.4,5.4,7696992,15%,85%,0%,36.76061279382528,,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units. It seems that this development was erroneously required to report and that the requirement to report was based on a roll-up of unit counts across different apartment complexes owned by the same owner. Therefore, the data reported is based on the energy and water data of 11 buildings in the Commerce Apartments development. ",,1101302000
661,Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130,98205,85.2,84,,Multifamily Housing,1964.0,481.7,4.9,8369437,10%,90%,0%,7545.874446311288,,,,1102906000
662,Franklin Park Villa,Yes,Multifamily Housing,131 Morton Street,02130,67049,Not Available,Not Available,,Multifamily Housing,2002.0,0,0,Not Available,0%,0%,0%,,,,,1103774000
663,Jamaica Plain,Yes,Multifamily Housing,48 School Street,02130,156000,76.2,79,,"Multifamily Housing, Parking",1920.0,722.6,4.6,11892166.4,18%,82%,0%,53.669871794871796,,,,1101481000110232700011023280001102329000110233000011023310001102332000110234200014010950001401097000140429800014042990001904778000
664,Michael Moskow,Yes,Multifamily Housing,82 South Huntington Avenue,02130,80000,Not Available,Not Available,,Multifamily Housing,1969.0,Not Available,Not Available,Not Available,0%,0%,0%,,,,,Not Available
665,Nate Smith House: 155 Lamartine St,Yes,Multifamily Housing,155 Lamartine St,02130,36049,84.7,30,,Multifamily Housing,1998.0,197.7,5.5,3054407.1,27%,73%,0%,50.48406335820688,,,,1900029010
666,Pondview: 560 Centre St,Yes,Multifamily Housing,560 Centre St,02130,50297,96.1,42,,Multifamily Housing,2000.0,290.8,5.8,4831490,16%,84%,0%,83.96325824601865,,,,1900914000
667,The Forbes Building,Yes,Multifamily Housing,545 Centre Street,02130,88616,117.5,30,,Multifamily Housing,1976.0,832.7,9.4,10410136.4,26%,0%,0%,49.64001986097319,,,,1901974000
668,Walnut Washington,Yes,Multifamily Housing,3228 Washington Street,02130,82000,98.6,44,,Multifamily Housing,1920.0,476.5,5.8,8088288.1,13%,87%,0%,8704.560975609756,,,,11016200001101647000110164800011016520001102293000
669,Woodbourne Housing LP,Yes,Multifamily Housing,6 Southbourne Road ,02130,64667,56.8,92,,Multifamily Housing,1979.0,219.4,3.4,3672391.1,15%,85%,0%,34.550852830655515,,,,1904952000
670,Blue Ledge Co-op,Yes,Multifamily Housing,15 Blue Ledge Drive,02131,69335,Not Available,Not Available,,Multifamily Housing,1995.0,0,0,Not Available,0%,0%,0%,,,,,1806016300
671,Cummins Towers,Yes,Multifamily Housing,950 Canterbury Street,02131,206955,107.3,72,,Multifamily Housing,1900.0,1234.8,6,22200699,6%,94%,0%,60.603029644125535,,,,1806659000
672,Dale Village Condo Trust,Yes,Multifamily Housing,25 Harrison St,02131,191967,10.7,100,,Multifamily Housing,1900.0,198.4,1,2051219.3,100%,0%,0%,27.28385607943032,,,,1903888000
673,Florence Apartments,Yes,Multifamily Housing,"84-90, 92-106, 108-130, 132-154, 156-166 Fawndale Road",02131,145643,83.7,95,,Multifamily Housing,1968.0,655.7,4.5,12196055.1,1%,99%,0%,77.5595119573203,,,,1903232000
674,Stony Brook Commons,Yes,Multifamily Housing,390 Blue Ledge Drive,02131,459000,73.2,97,,Multifamily Housing,1900.0,1854.5,4,33613095.6,5%,95%,0%,58.07342047930283,,,,Not Available
675,"1459 Realty Ventures, LLC",Yes,Multifamily Housing,1459-1461 VFW Parkway,02132,90437,83.6,59,,"Multifamily Housing, Parking",1968.0,444.5,4.9,7560051.2,13%,87%,0%,49.780949220046466,,,,2010637001
676,Belgrade Place LLC,Yes,Multifamily Housing,446 Belgrade Ave,02132,65574,106,1,,"Multifamily Housing, Parking",2012.0,409.9,9.4,4632213,81%,19%,0%,29.515509195717815,,,,Not Available
677,Cheriton Grove LP,Yes,Multifamily Housing,20 Cheriton Road ,02132,44390,66.6,52,,Multifamily Housing,1986.0,201.1,4.5,2956133.9,34%,66%,0%,34.6271682811444,,,,2011777000
678,Cheriton Heights LP,Yes,Multifamily Housing,18 Cheriton Road ,02132,80340,44,90,,Multifamily Housing,2012.0,253.5,3.2,3537935.8,43%,57%,0%,17.47074931540951,,,,2011777010
679,Edgemere Green,Yes,Multifamily Housing,110-154 Edgemere Road,02132,170854,52.3,86,,Multifamily Housing,1967.0,608,3.6,8936320.2,34%,66%,0%,11602.760251442753,,,,Not Available
680,Ridgecrest Terrace,Yes,Multifamily Housing,5120 Washington Street ,02132,174104,Not Available,Not Available,,"Multifamily Housing, Office, Parking",1970.0,Not Available,Not Available,Not Available,0%,0%,0%,,,,,Not Available
681,Rockingham Glen,Yes,Multifamily Housing,30 Rockingham Ave,02132,142900,68,82,,"Multifamily Housing, Parking",1974.0,620.5,4.3,9723158,25%,75%,0%,34.56962911126662,,,,2003041000
682,15 N. Beacon Street Condominium Trust,Yes,Multifamily Housing,15 N. Beacon Street,02134,228988,130.7,32,,"Multifamily Housing, Office, Parking, Restaurant",1989.0,1159.4,7.9,19065261.4,18%,82%,0%,8.446205308181618,,,,2201749000
683,Comaven Housing: Comaven Housing,Yes,Multifamily Housing,1399 Commonwealth Avenue,02134,64946,94.7,50,,Multifamily Housing,1974.0,456.3,7,6151237,18%,20%,0%,89.59751177901641,,,,2101105000
684,Comm/Griggs,Yes,Multifamily Housing,"1298-1302 Commonwealth Ave, 8 Griggs St.",02134,151298,38.9,99,,"Multifamily Housing, Parking",1935.0,352.3,2.3,5885695.1,15%,85%,0%,3.1150444817512457,,,,Not Available
685,Governor Apartments: 209 Kelton Street,Yes,Multifamily Housing,209 Kelton Street,02134,91557,57,87,,Multifamily Housing,1980.0,319.4,3.5,5219782.1,19%,81%,0%,41.23223784090785,,,,2101692000
686,HUH - One Western Ave,Yes,Multifamily Housing,One Western Ave,02134,241946,77.4,44,,Multifamily Housing,2003.0,1426.1,5.9,18717248.3,32%,0%,68%,29.036231225149415,,"DOES NOT INCLUDE GARAGE! 

Boston Data
1 WESTERN AV	
Parcel 2200481000	",,2200481000
687,HUH - Soldiers Field Park Complex (Roll-Up),Yes,Multifamily Housing,111 Western Avenue,02134,453389,63.6,85,,Multifamily Housing,1976.0,2135.7,4.7,28855249.4,25%,0%,75%,31.094049480688767,,,,2200480000
688,Walbridge Brainerd,Yes,Multifamily Housing,25 Walbridge St,02134,24700,96.5,44,,Multifamily Housing,1920.0,169.6,6.9,2382469.1,41%,59%,0%,106.14574898785425,,,,2101463000
689,137 Englewood Avenue,Yes,Multifamily Housing,137 Englewood Avenue,02135,56239,32.2,100,,Multifamily Housing,1935.0,98.7,1.8,1813281.5,3%,97%,0%,46.05345045253294,,,,2102331000
690,1960-1980 Commonwealth Ave.,Yes,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",02135,141204,98.4,42,,Multifamily Housing,1937.0,801.4,5.7,13893631.4,10%,90%,0%,,,,,02469-000
691,99 Chestnut Hill Park,Yes,Multifamily Housing,99 Chestnut Hill Park,02135,57949,Not Available,Not Available,,Multifamily Housing,2005.0,0,0,Not Available,0%,0%,0%,,,,,2204946000
692,Bancroft,Yes,Multifamily Housing,119-127 Sutherland,02135,30600,150.5,1,,Multifamily Housing,1920.0,301.5,9.9,4605318.6,28%,72%,0%,55.552287581699346,,,,2102155000
693,Camelot Court,Yes,Multifamily Housing,10 Camelot Court,02135,137291,84.7,93,,Multifamily Housing,1900.0,647.4,4.7,11630122.4,6%,94%,0%,44.81357117363848,,,,2101267000
694,Charlesview Residences,Yes,Multifamily Housing,400 Western Avenue,02135,265000,48,94,,Multifamily Housing,2013.0,891.6,3.4,12719277.6,39%,61%,0%,39.696603773584904,,,,2200862010
695,Chestnut Hill Park Condominium Trust,Yes,Multifamily Housing,"5 Braemore Rd, 324 CH. Hill Ave. 1868, 1870, 1872, 1874, 1880 Comm. Ave",02135,97640,Not Available,Not Available,,Multifamily Housing,1915.0,0,0,Not Available,0%,0%,0%,,,,,2102333000
696,Chiswick Building,Yes,Multifamily Housing,125 Chiswick Rd,02135,94068,63.3,87,,Multifamily Housing,1963.0,351.3,3.7,5950357.2,14%,86%,0%,24.006038185142664,,,,02538-000
697,Colborne Court Condominium Trust,Yes,Multifamily Housing,41-67 Colborne Rd,02135,84410,Not Available,Not Available,,Multifamily Housing,1965.0,0,0,Not Available,0%,0%,0%,,,,,2101986000
698,Commonwealth Properties,Yes,Multifamily Housing,66-70 Chiswick,02135,36800,130,5,,Multifamily Housing,1920.0,299.6,8.1,4784161,22%,78%,0%,41.16304347826087,,,,2102304000
699,"Covenant House I, II, and III",Yes,Multifamily Housing,30 Washington St,02135,201670,67.4,88,,Multifamily Housing,1995.0,846.8,4.2,13587534.6,21%,79%,0%,12.151038825804532,,,,2101991000
700,Genesis House: 28 Wallingford Rd.,Yes,Multifamily Housing,28 Wallingford Rd.,02135,187656,98.1,26,,Multifamily Housing,1978.0,1170.5,6.2,18415399.3,24%,76%,0%,42.336509357547854,,,,2102565020
701,Leventhal House: 40 Wallingford Rd.,Yes,Multifamily Housing,40 Wallingford Rd,02135,158387,91.3,33,,Multifamily Housing,2007.0,957,6,14453920.7,30%,70%,0%,58.693579649845,,,,2102565010
702,Regency Building 1455,Yes,Multifamily Housing,1455,02135,103000,110.6,50,,"Multifamily Housing, Parking",1978.0,644.8,6.3,11396952.6,8%,92%,0%,31.22233009708738,,,,01829-000
703,Reservoir Towers: Reservoir Towers,Yes,Multifamily Housing,1925 Commonwealth Avenue,02135,225370,93.6,24,,Multifamily Housing,1978.0,1408,6.2,21092202.9,31%,69%,0%,47.86883791099081,,,,2102474000
704,Sidlaw Park Condominium,Yes,Multifamily Housing,"24, 28, 32 Sidlaw Road",02135,35000,8.1,100,,Multifamily Housing,1928.0,27.6,0.8,285147.7,100%,0%,0%,48.68,,,,Not Available
705,Towne Estates,Yes,Multifamily Housing,177 Lake Shore Road,02135,344080,113.9,1,,Multifamily Housing,1965.0,3198,9.3,39203295.6,65%,35%,0%,51.4714601255522,,,,4452243
706,Ulin House: 30 Wallingford Rd.,Yes,Multifamily Housing,30 Wallingford Rd,02135,140889,110.4,65,,Multifamily Housing,1971.0,915.4,6.5,15560602.7,13%,87%,0%,47.48844835295871,,,,2102565015
707,Washington Square Condominium,Yes,Multifamily Housing,"309 -  313 Allston St., and 1560 - 1576 Commonwealth Ave.",02135,154240,10.1,Not Available,,Multifamily Housing,1985.0,149.6,1,1562712,98%,2%,0%,30.42725622406639,,,,Not Available
708,Blake Estates I,Yes,Multifamily Housing,1344 Hyde Park Avenue,02136,132000,40.8,100,,Multifamily Housing,1900.0,315,2.4,5384341.3,12%,88%,0%,33.503787878787875,,,,1809255000
709,Blake Estates II,Yes,Multifamily Housing,1344 Hyde Park Avenue,02136,61000,49.5,100,,Multifamily Housing,1900.0,176.6,2.9,3022050.1,12%,88%,0%,40.781967213114754,,,,1809255010
710,Clarendon Hill Condominium,Yes,Multifamily Housing,1 - 102 and 213 Victoria Heights Rd.,02136,337712,15.4,100,,"Multifamily Housing, Parking",1986.0,504.1,1.5,5210096.9,100%,0%,0%,1090.2517529729473,,,,Not Available
711,Cummins Realty Trust,Yes,Multifamily Housing,605 Truman Highway,02136,66410,Not Available,Not Available,,Multifamily Housing,1970.0,0,0,Not Available,0%,0%,0%,,,,,Not Available
712,Georgetowne Homes I,Yes,Multifamily Housing,400A Georgetowne Drive,02136,1540954,21.7,100,,Multifamily Housing,1900.0,1845.6,1.2,33445208.6,5%,95%,0%,18.371930635177947,,,,1812326000
713,Mattapan Apartments E,Yes,Multifamily Housing,1332-1342 River Street,02136,34222,59,80,,Multifamily Housing,1920.0,145.8,4.3,2019257.3,44%,56%,0%,11.670855005551983,,,,1811577000 18578000
714,Mother Brook Trust,Yes,Multifamily Housing,1608 River Street,02136,66954,Not Available,Not Available,,Multifamily Housing,1986.0,0,0,Not Available,0%,0%,0%,3647.1472951578694,,,,Not Available
715,Riley House: 39 Maple Avenue,Yes,Multifamily Housing,39 Maple Avenue,02136,46834,72.4,14,,Multifamily Housing,2000.0,232.2,5,3390256.3,35%,65%,0%,24.926335568176967,,,,1809143010
716,Stony Brook Village,Yes,Multifamily Housing,150 Clare Avenue,02136,62500,98.4,42,,"Multifamily Housing, Parking",1964.0,389.2,6.2,6148178.6,23%,77%,0%,6867.2656,,,,1806881000
717,Cambridgeport Commons Condominium,Yes,Multifamily Housing,"2 chestnut, 20 Chestnut, 9 Chestnut,1-11 Henry, ",02139,60737,93.3,44,,Multifamily Housing,1987.0,411.5,6.8,5664865.8,45%,55%,0%,84131.77634720187,,Please note that we are reporting on energy usage for 2 Chestnut and 20 Chestnut only,,Not Available
718,The Penmark,Yes,Multifamily Housing,21 Father Gilday St,02176,76075,94,1,,Multifamily Housing,1980.0,560.4,7.4,7152414.7,58%,42%,0%,22.93263227078541,,,,0801401510
719,MA040_AVA Back Bay,Yes,Multifamily Housing,790 Boylston Street,02199,291222,101.1,27,,Multifamily Housing,1968.0,2026.7,7,29451334.1,10%,4%,86%,79.06682874233402,,,,0401037010
720,MA041_Avalon Prudential Center 2,Yes,Multifamily Housing,780 Boylston Street,02199,287111,103.8,4,,Multifamily Housing,1968.0,2236.7,7.8,29806428.9,28%,0%,72%,47.24305233864255,,,,0401037050
721,MA042_Avalon Prudential Center 1,Yes,Multifamily Housing,770 Boylston Street,02199,286043,98,9,,Multifamily Housing,1968.0,2074.2,7.3,28020908.7,25%,0%,75%,36.19735494313792,,,,0401037075
722,"Mandarin Oriental, Boston",Yes,Multifamily Housing,772-776 Boylston Street,02199,452336,147.8,1,,"Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",2006.0,5509.2,12.2,66857912,56%,8%,36%,35.30251848183651,,,,"0401037810,0401037800"
723,44 Prince Street Condominium Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210,76038,45.6,69,,Multifamily Housing,2006.0,237.3,3.1,3468632.4,35%,65%,0%,25.539861648123306,,,,0302347000
724,75 Clarendon Street Condo Trust,Yes,Multifamily Housing,c/o Barkan Management,02210,46100,10.6,100,,Multifamily Housing,1000.0,47.1,1,486841.7,100%,0%,0%,407.1475054229935,,,,0501048000
725,Artists,Yes,Multifamily Housing,300 Summer Street,02210,85000,33.7,99,,Multifamily Housing,1950.0,184.2,2.2,2862967.5,26%,74%,0%,13.07764705882353,,,,0602696002
726,Audubon Park Condo Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210,126660,21.4,100,,Multifamily Housing,1000.0,201.9,1.6,2715550.4,49%,51%,0%,9.283909679456814,,,,2100167000
727,Flats on D,Yes,Multifamily Housing,411 D Street,02210,237984,14.9,Not Available,,"Multifamily Housing, Retail Store",2014.0,314,1.3,3534548.3,82%,0%,0%,3.4888900094123976,,,,0602842000
728,Fort Point Place,Yes,Multifamily Housing,21 Wormwood Street,02210,4000,355.9,98,,Multifamily Housing,2000.0,119.5,29.9,1423451.9,71%,29%,0%,848.575,,,,Not Available
729,FP 3,Yes,Multifamily Housing,346 Congress St,02210,93300,141.6,8,,Multifamily Housing,1996.0,777,8.3,13215278.2,13%,87%,0%,4.233654876741693,,,,Not Available
730,Midway Studios: 15 Channel Center Street,Yes,Multifamily Housing,15 Channel Center St,02210,203500,43,36,,Multifamily Housing,2005.0,717.2,3.5,8751906.2,66%,34%,0%,15.244226044226044,,,,0602750050
731,Park Lane,Yes,Multifamily Housing,One Park Lane,02210,427586,99,Not Available,,"Bank Branch, Food Sales, Multifamily Housing",2006.0,3363.6,7.9,42333679.3,60%,40%,0%,41.62180239764632,,,,0602680150 0602680252 0602680250
732,SAA,Yes,Multifamily Housing,249 A Street,02210,11000,17,100,,Multifamily Housing,1983.0,18.1,1.6,187237,100%,0%,0%,86.11818181818182,,,,0602752000
733,Seaport Lofts at 437 D St Condominium,Yes,Multifamily Housing,437 D Street,02210,13146,Not Available,Not Available,,Multifamily Housing,1996.0,0,0,Not Available,0%,0%,0%,,,,,0602833000
734,Waterside Place,Yes,Multifamily Housing,505 Congress Street,02210,262000,48.4,63,,"Multifamily Housing, Parking",2014.0,984,3.9,12092047,65%,35%,0%,16.5452,,,,0602678015
735,10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,02215,66456,192.5,1,,Multifamily Housing,1924.0,711,10.7,12794801,6%,94%,0%,76.78614421572168,,,,2100201000
736,111 Park Drive,Yes,Multifamily Housing,111 Park Drive,02215,32832,79.6,61,,Multifamily Housing,1920.0,208.1,6.3,2614628.6,26%,2%,0%,46.71966374269006,,"Manually entered all meter information.  Portals from all utility companies that provided excel documents that were formatted would not upload.

Gross Sq. Ft. based on information received from Assessing Department online

",,0504272000
737,117 Park Drive,Yes,Multifamily Housing,117 Park Drive,02215,33360,76.2,Not Available,,Multifamily Housing,1920.0,205.7,6.2,2541251.4,31%,2%,0%,43.8279376498801,,,,0504273000
738,"1330 Boylston Street Properties, LLC",Yes,Multifamily Housing,1330 Boylston Street,02215,480485,64.2,Not Available,,"Multifamily Housing, Office, Parking, Retail Store",2008.0,1725.7,4.8,23202124.2,49%,51%,0%,34.02747426017007,,,,0504314014
739,22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,02215,35036,74.7,77,,Multifamily Housing,1914.0,154.2,4.4,2618910.4,13%,87%,0%,38.19785363625985,,,,Not Available
740,37-47 St. Mary's Street,Yes,Multifamily Housing,37-47 St. Mary's Street,02215,39130,83,82,,Multifamily Housing,1982.0,178.8,4.6,3246326.5,4%,96%,0%,37.9657551750575,,,,Not Available
741,580 Commonwealth Avenue,Yes,Multifamily Housing,580 Commonwealth Avenue,02215,126333,96.1,2,,Multifamily Housing,2004.0,904.9,7.2,12144366.7,49%,51%,0%,51.63971408895538,,,, 0504140000
742,856-862 Beacon Street,Yes,Multifamily Housing,856-862 Beacon Street,02215,35364,125.9,17,,Multifamily Housing,1985.0,251.4,7.1,4453572.7,8%,92%,0%,17.857142857142858,,,,Not Available
743,Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,02215,181040,85.7,9,,"Multifamily Housing, Parking",1972.0,1117.9,7.2,13316043,71%,29%,0%,44.137105493487105,,,,2100470000
744,Boylston,Yes,Multifamily Housing,1163 Boylston St,02215,174700,124.8,23,,Multifamily Housing,1920.0,1412.1,8.1,21809187.4,27%,73%,0%,67.10475100171723,,,,0504178000
745,Cyprus,Yes,Multifamily Housing,829 833 Beacon St,02215,51634,67.2,Not Available,,"Multifamily Housing, Office",1920.0,214.2,4.1,3467515.9,20%,80%,0%,,,,,2100170000
746,Fenmore Condominium,Yes,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",02215,107517,125.3,51,,Multifamily Housing,1930.0,797,7.4,13471839.7,14%,86%,0%,81.39736041742236,,,,504165000
747,Fenway By The Park Condominium,Yes,Multifamily Housing,125-131 Park Drive,02215,49150,111.5,58,,Multifamily Housing,1950.0,324.2,6.6,5482587.5,14%,86%,0%,45.73346897253306,,,,0504275000
748,Fenway Views Condominium,Yes,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215,44927,94.6,55,,"Multifamily Housing, Parking",1990.0,263.3,6.1,4094229.7,26%,74%,0%,70.41889050622675,,,,2100033010
749,Harvard School of Public Health - Shattuck Int’l House,Yes,Multifamily Housing,203 Park Drive,02215,60077,64.8,88,"2014, 2013, 2012, 2006",Multifamily Housing,1920.0,249.4,4.2,3893078.6,25%,75%,0%,31.84080430114686,,,,2100005010
750,HUH - Trilogy (170 Brookline Ave),Yes,Multifamily Housing,170 Brookline Avenue,02215,142773,68.4,21,,Multifamily Housing,2006.0,741.8,5.2,9763318.8,52%,48%,0%,39.68537468568987,,"Boston Data
170 BROOKLINE AVE
Parcel 2100051018	",,2100051018
