,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
1070,Orient Heights Branch,Municipal ,Library,18 Barnes Ave,2128,"10,000",14.7,Not Available,,Library,2000,8.7,0.9,"146,542.60",19.40%,80.60%,,,,,,104382000,"2016, 2017, "
1071,EBNHC - Maverick,Yes,Urgent Care/Clinic/Other Outpatient,20 Maverick Square,2128,"47,777",111.4,Not Available,,Urgent Care/Clinic/Other Outpatient,2012,378.3,7.9,"5,324,152.80",55.50%,44.50%,,17.5,,,,105658010,"2017, "
1072,Embassy Suites Boston Logan Airport,Yes,Hotel,207 Porter Street,2128,"488,000",45.5,97,,"Hotel, Parking, Swimming Pool",2003,"1,498.00",3.1,"22,180,861.40",44.60%,55.40%,,13.8,,City of Boston parcel ID 0104102000.  167 Cottage St/ 207 Porter St. East Boston,,104102000,"2016, 2017, "
1073,OTIS,Municipal ,K-12 School,218 Marion St.,2128,"35,100",46.4,98,,K-12 School,1905,98.3,2.8,"1,628,827.80",22.30%,77.70%,,,,,,106426000,"2016, 2017, "
1074,Courtyard Marriott Logan Airport,Yes,Hotel,225 McCllean Highway,2128,"186,000",Not Available,Not Available,,"Hotel, Swimming Pool",1972, -   ,0, Not Available ,,,,,,,,100549001,"2017, "
1075,Lewis Mall Apartments,Yes,Multifamily Housing,225 Sumner Street,2128,"37,620",74.3,Not Available,,"Parking, Residential Care Facility",1996,189.4,5,"2,793,688.50",45.40%,54.60%,,37.8,,,,105398005,"2017, "
1076,Engine 09,Municipal ,Fire Station,239 Sumner St,2128,"18,836",130,Not Available,,Fire Station,2000,153.7,8.2,"2,448,539.60",29.90%,70.10%,,6.6,,,,105382000,"2016, 2017, "
1077,East Boston Branch,Municipal ,Library,276 Meridian St,2128,"19,982",8.7,Not Available,,Library,2000,5.8,0.6,"84,368.70",50.00%,50.00%,,,,,,105935000,"2016, 2017, "
1078,Lyman School,Yes,Multifamily Housing,30 Gove Street,2128,"55,000",6.2,100,,Multifamily Housing,1878,28.5,0.5,"340,342.20",94.50%,5.50%,,33.4,,,,105744000,"2017, "
1079,UMANA,Municipal ,K-12 School,312 Border St.,2128,"169,000",112.4,69,,"K-12 School, Swimming Pool",1975,"1,009.50",6,"18,993,610.00",0.10%,99.90%,,,,,,103668000,"2016, 2017, "
1080,O'DONNELL,Municipal ,K-12 School,33 Trenton St.,2128,"24,648",42.1,99,,K-12 School,1932,64.5,2.6,"1,038,318.00",27.90%,72.10%,,,,,,102615000,"2016, 2017, "
1081,KENNEDY PJ,Municipal ,K-12 School,343 Saratoga St.,2128,"36,190",35.5,100,,K-12 School,1926,78.6,2.2,"1,283,775.60",25.10%,74.90%,,,,,,106987000,"2016, 2017, "
1082,Engine 05,Municipal ,Fire Station,360 Saratoga St,2128,"10,080",137,Not Available,,Fire Station,2000,89.1,8.8,"1,380,774.80",35.30%,64.70%,,11.6,,,,107039000,"2016, 2017, "
1083,New East Boston,Municipal ,Library,365 Bremen Street,2128,"15,000",76.8,Not Available,,Library,2013,86.5,5.8,"1,152,698.50",67.90%,32.10%,,,,,,104194001,"2016, 2017, "
1084,ALIGHIERI,Municipal ,K-12 School,37 Gove St.,2128,"169,748",52.8,100,,K-12 School,1924,48.5,2.9,"894,509.20",3.50%,96.50%,,,,,,105723000,"2016, 2017, "
1085,Landfall West Apartments,Yes,Multifamily Housing,401 Border Street ,2128,"52,157",82.6,13,,Multifamily Housing,1975,223.1,5.1,"3,635,759.40",25.50%,74.50%,,31.1,,,,10361300,"2017, "
1086,Excel Academy Charter High School,Yes,K-12 School,401 Bremen Street,2128,"67,527",12.2,100,,K-12 School,2016,70.4,1,"824,120.90",100.00%,,,,,104196010,,104196010,"2017, "
1087,440 McClellan LLC,Yes,Non-Refrigerated Warehouse,440 William F McClellan Highway,2128,"121,101",29.4,64,,Non-Refrigerated Warehouse,1960,258,2.1,"3,555,890.60",60.10%,39.90%,,2.8,,"Building Usage Data for Natural Gas and Electric is whole building data provided by utility companies.Default Values were used for Use Detail.",,101662000,"2015, 2016, 2017, "
1088,GUILD,Municipal ,K-12 School,5 Ashley St.,2128,"36,628",50.3,97,,K-12 School,1921,111.3,3,"1,841,106.80",22.60%,77.40%,,,,,,101681000,"2016, 2017, "
1089,Portside at East Pier,Yes,Multifamily Housing,50 Lewis Street,2128,"159,661",20.9,Not Available,,"Multifamily Housing, Parking",2014,230.6,1.4,"3,335,798.30",49.60%,50.40%,,34.8,,,,104447000,"2015, 2017, "
1090,McArdle Bridge Tender House,Municipal ,Other - Public Services,500 Meridian St,2128,"3,024",120.2,Not Available,,Other - Public Services,2000,31.1,10.3,"363,412.10",100.00%,,,,,,,105935000,"2016, 2017, "
1091,Sterling Suffolk Race Cource LLC,Yes,Other - Entertainment/Public Assembly,525 McClellan Highway,2128,"7,100,280",Not Available,Not Available,,"Other - Entertainment/Public Assembly, Parking",1935, Not Available ,Not Available, Not Available ,,,,,,,,102524000,"2014, 2016, 2017, "
1092,Victory Gardens Apartments: 54 Orleans Street,Yes,Multifamily Housing,60 Orleans St,2128,"78,545",55.1,90,,Multifamily Housing,1979,273.4,3.5,"4,329,366.20",31.10%,68.90%,,20.3,,Sq. Ft. adjusted to match parcel/tax assessor - 60-70 Orleans,,105343100,"2015, 2016, 2017, "
1093,Shore Plaza East,Yes,Multifamily Housing,600 Border St.,2128,"297,154",132.3,9,,"Multifamily Housing, Parking",1977,"2,403.80",8.1,"39,328,026.00",24.80%,75.20%,,72.4,,,,103678000,"2017, "
1094,Chapman House,Yes,Multifamily Housing,61 Eutaw Street,2128,"33,551",84.8,39,,Multifamily Housing,1900,172.2,5.1,"2,844,019.20",23.00%,77.00%,,52.7,,,,102829000,"2017, "
1095,A-07 Station,Municipal ,Police Station,69 Paris St,2128,"16,194",159.2,Not Available,,Police Station,2000,164.4,10.2,"2,577,566.30",33.00%,67.00%,,,,,,105699000,"2016, 2017, "
1096,Landfall Community Associates,Yes,Multifamily Housing,72 Marginal Street,2128,"85,000",88.8,46,,Multifamily Housing,1975,453.1,5.3,"7,552,192.60",21.30%,78.70%,,52.1,,,,104482000,"2017, "
1097,Pino Community Center,Municipal ,Social/Meeting Hall,86 Boardman St,2128,"11,250",58.3,Not Available,,Social/Meeting Hall,2000,34.9,3.1,"656,132.00",,100.00%,,2.7,,,,100524000,"2016, 2017, "
1098,EAST BOSTON HS,Municipal ,K-12 School,86 White St.,2128,"212,505",58.9,85,,K-12 School,1926,735.7,3.5,"12,526,035.50",17.40%,82.60%,,,,,,103384000,"2016, 2017, "
1099,Brandywyne Village,Yes,Multifamily Housing,88 Brandywyne Drive,2128,"873,348",20.5,100,,Multifamily Housing,1900,983.9,1.1,"17,932,144.30",5.40%,94.60%,,20.3,,,,100534000,"2016, 2017, "
1100,Brooke Charter School - East Boston,Yes,K-12 School,94 Horace St,2128,"28,637",44.9,87,,K-12 School,1958,98.4,3.4,"1,285,718.90",99.40%,0.60%,,11,,,,100899000,"2017, "
1101,Sparrow Enterprises Ltd,Yes,Manufacturing/Industrial Plant,98r Condor Street,2128,"46,000",25.8,Not Available,,Manufacturing/Industrial Plant,1986,70.4,1.5,"1,188,328.90",26.20%,73.80%,,2.3,,,,103704100,"2016, 2017, "
1102,Navy Yard 34-39: Building 34,Yes,Office,1 1st Avenue,2129,"49,247",68.6,76,,"Bank Branch, Office, Retail Store",1989,256.4,5.2,"3,379,718.50",70.30%,29.70%,,15.6,,,,203512000,"2017, "
1103,The Nautica Condominium Leasehold Trust,Yes,Multifamily Housing,1 Warren St,2129,"150,977",68.4,71,,"Multifamily Housing, Parking",2000,715.8,4.7,"10,320,394.60",50.20%,49.80%,,49,,,,203520010,"2015, 2016, 2017, "
1104,Navy Yard 34-39: Building 39,Yes,Office,100 1st Avenue,2129,"86,951",110.6,6,,Office,1989,789.5,9.1,"9,619,381.90",89.60%,10.40%,,14.4,,,,203511000,"2017, "
1105,HF GROUP LLC,Yes,Manufacturing/Industrial Plant,100 CAMBRIDGE ST.,2129,"39,754",163.1,Not Available,,Manufacturing/Industrial Plant,1950,475.5,12,"6,483,133.30",62.60%,37.40%,,11.4,,,,0202138000 0202139000,"2016, 2017, "
1106,Bricklayers Bulding 104 LLC,Yes,Other - Lodging/Residential,104 First Avenue,2129,"80,038",16.2,Not Available,,"Other - Lodging/Residential, Parking",1996,99.5,1.2,"1,297,713.50",100.00%,,,16.2,,,,203515760,"2017, "
1107,Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,2129,"280,000",39,81,,Multifamily Housing,1986,791.2,2.8,"10,906,574.30",60.10%,39.90%,,10.5,,,,203510175,"2015, 2016, 2017, "
1108,Charlestown Navy Yard Rowhouses,Yes,Multifamily Housing,110 First Ave,2129,"28,820",27,100,,Multifamily Housing,1989,66.4,2.3,"777,615.30",100.00%,,,61.7,,,,203517500,"2015, 2016, 2017, "
1109,PHS-MGH-CNY Bldg 114,Voluntary,Medical Office,114 16th Street,2129,"160,352",280.9,15,,Medical Office,1904,"1,553.30",9.7,"45,037,741.80",35.10%,64.90%,,21.2,,,,203510050,"2014, 2015, 2016, 2017, "
1110,Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,2129,"91,379",25.3,93,,"Multifamily Housing, Office, Parking",1984,197.8,2.2,"2,315,437.80",100.00%,,,25,,,,203515600,"2015, 2016, 2017, "
1111,PHS-MGH-CNY Bldg. 149,Yes,Medical Office,149 13th Street,2129,"733,715",240,22,,Medical Office,1919,"4,338.40",5.9,"176,105,696.00",53.60%,46.40%,,19.1,,,,203510451,"2014, 2015, 2016, 2017, "
1112,YMCA of Greater Boston - Constitution Inn,Yes,Hotel,150 Second Avenue,2129,"270,000",58.2,84,,"Hotel, Swimming Pool",1992,941.4,3.5,"15,712,440.00",21.00%,79.00%,,12.5,,"The hotel consists of a 20,000 sq. ft. fitness center.",,0203511300 0203511301,"2015, 2016, 2017, "
1113,Charlestown Branch,Municipal ,Library,179 Main St,2129,"15,831",88.6,Not Available,,Library,2000,99.6,6.3,"1,402,470.50",55.30%,44.70%,,3.9,,,,200449000,"2016, 2017, "
1114,Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,2129,"590,000",48.4,40,,Multifamily Housing,1989,"2,008.90",3.4,"28,532,031.10",53.50%,46.50%,,15.2,,"On sheet, Electric also entered for Heating Fuel, Electric Baseboards for Heating System. Entered Boilers on sheet for Hot Water System, so assumed Indirect hot water tank off boiler (Heat & DHW). ",,203505100,"2015, 2016, 2017, "
1115,A-15 Station,Municipal ,Police Station,20 Vine St,2129,"20,000",100.9,Not Available,,Police Station,2000,142.2,7.1,"2,017,126.60",53.70%,46.30%,,,,,,202644020,"2016, 2017, "
1116,Engine 04,Municipal ,Fire Station,200 Cambridge St,2129,"18,150",78,Not Available,,Fire Station,2000,88.1,4.9,"1,414,920.20",28.30%,71.70%,,10.2,,,,300139000,"2016, 2017, "
1117,"Mishawum Park: Bldgs 17, 18, and 20",Yes,Multifamily Housing,216 Main Street,2129,"30,425",54.5,96,,Multifamily Housing,1974,101.8,3.3,"1,658,665.50",25.60%,74.40%,,42.7,,,,202315000,"2015, 2016, 2017, "
1118,CHARLESTOWN HS,Municipal ,K-12 School,240 Medford St.,2129,"226,822",75.8,34,,K-12 School,1978,"1,127.40",5,"17,187,118.80",38.60%,61.40%,,,,,,200128000,"2016, 2017, "
1119,Harborview at the Navy Yard,Yes,Multifamily Housing,250 First Avenue,2129,"225,748",54.1,86,,"Multifamily Housing, Parking",2008,863.8,3.8,"12,205,848.10",54.60%,45.40%,,43.7,,,,3517600,"2016, 2017, "
1120,EDWARDS,Municipal ,K-12 School,28 Walker St.,2129,"81,668",47.1,96,,K-12 School,1932,231.9,2.8,"3,849,068.60",22.10%,77.90%,,,,,,200963000,"2016, 2017, "
1121,"Mishawum Park: Bldgs 9,10,11, and 12",Yes,Multifamily Housing,290 Main Street,2129,"98,577",60.9,82,,Multifamily Housing,1974,383.8,3.9,"6,004,147.60",33.40%,66.60%,,55.3,,,,202390000,"2015, 2016, 2017, "
1122,Mezzo Design Lofts,Yes,Multifamily Housing,30 Caldwell Street,2129,"123,594",46.8,Not Available,,Multifamily Housing,2007,362.4,2.9,"5,786,682.20",29.40%,70.60%,,36.2,,,,201912010,"2015, 2017, "
1123,The Schoolhouse on Monument Square Condominium,Yes,Multifamily Housing,30 Monument Square,2129,"66,863",45.7,52,,"Multifamily Housing, Parking",1986,248.5,3.7,"3,055,881.30",63.20%,,,16,,,,203150000,"2017, "
1124,PHS-Spaulding Rehabilitation Hospital - CNY,Yes,Hospital (General Medical & Surgical),300 First Ave,2129,"290,610",199.3,96,,Hospital (General Medical & Surgical),2012,"2,456.70",8.5,"57,927,872.70",20.10%,79.90%,,35.5,,,,203517850,"2016, 2017, "
1125,Chestnut Street Condo,Voluntary,Multifamily Housing,33 Chestnunt Street,2129,"29,447",29.2,79,,Multifamily Housing,1989,73.3,2.5,"858,452.40",100.00%,,,25.4,,,,501588000,"2017, "
1126,Engine 50,Municipal ,Fire Station,34 Winthrop St,2129,"12,000",61.5,Not Available,,Fire Station,2000,46.9,3.9,"738,303.20",32.10%,67.90%,,8.5,,,,203321000,"2016, 2017, "
1127,Tudor Wharf Hotel Tenant,Yes,Hotel,34-44 Charles River Ave,2129,"27,720",413.9,1,,"Hotel, Parking, Swimming Pool",2002,978.3,35.3,"11,473,620.90",99.50%,0.50%,,264.5,,,,203591000,"2017, "
1128,Clougherty Pool,Municipal ,Fitness Center/Health Club/Gym,345 Bunker Hill St,2129,"9,936",18,Not Available,,"Fitness Center/Health Club/Gym, Swimming Pool",2000,15.3,1.5,"178,814.40",100.00%,,,,,,,201503000,"2016, 2017, "
1129,PHS-MGH Institute of Health Professions,Yes,Office,36 First Avenue,2129,"64,925",69.6,73,,Office,1865,26.5,0.4,"4,515,702.70",88.90%,11.10%,,91.4,,,,0203504000 0203504001,"2014, 2015, 2016, 2017, "
1130,Zero-Sort Building,Yes,Manufacturing/Industrial Plant,410 R Rutherford Ave,2129,"82,706",129.7,Not Available,,Manufacturing/Industrial Plant,1965,909.1,11,"10,730,174.20",97.80%,2.20%,,12.1,,,,202162095,"2014, 2015, 2016, 2017, "
1131,Parris Landing Condominium Trust: 42 8th Street,Yes,Multifamily Housing,42 8th Street,2129,"320,568",71.9,76,,Multifamily Housing,1979,"1,426.00",4.4,"23,046,690.40",27.10%,72.90%,,49,,"Regarding systems: High Efficiency Condensing Boilers for Gas heat, one building also has Electric Stand-alone storage water heater, and both buildings have Packaged Rooftop Cooling System. ",,203506010,"2015, 2016, 2017, "
1132,City Square Elderly Housing,Yes,Multifamily Housing,42 Park Street,2129,"94,970",Not Available,Not Available,,Multifamily Housing,1985, Not Available ,Not Available, Not Available ,,,,,,,,203350010,"2015, 2017, "
1133,425 Medford Street,Yes,Distribution Center,425 Medford Street,2129,"186,818",13.3,Not Available,,"Distribution Center, Parking",1899,170.8,0.9,"2,487,039.20",48.10%,51.90%,,78.4,,,,0201799000  0201798000,"2014, 2015, 2016, 2017, "
1134,Stillman Tennis Center,Municipal ,Fitness Center/Health Club/Gym,44 Terminal St,2129,"64,320",35.4,Not Available,,Fitness Center/Health Club/Gym,2000,120.8,1.9,"2,274,131.00",,100.00%,,,,,,202735000,"2016, 2017, "
1135,Bunker Hill Business Center,Yes,Non-Refrigerated Warehouse,440 Rutherford ,2129,"52,944",8.5,99,,"Non-Refrigerated Warehouse, Parking",1954,35.7,0.7,"451,602.10",80.50%,19.50%,,2.3,,,,0202162075 0202162085,"2016, 2017, "
1136,465 Medford Street,Yes,Office,465 Medford Street,2129,"180,096",375.3,9,,"Office, Parking",1920,"3,926.40",21.8,"67,596,194.20",15.40%,84.60%,,1.9,,Electric Usage provided by NSTAR.  Tenant which occupies 60% of they building is working two shifts and is a high energy user. ,,0201804000 0201802000,"2014, 2015, 2016, 2017, "
1137,Courtyard Condominium,Yes,Multifamily Housing,47 Harvard Street,2129,"100,000",19.4,100,,Multifamily Housing,1983,132.9,1.3,"1,938,944.70",47.70%,52.30%,,27,,,,203690000,"2015, 2016, 2017, "
1138,Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,2129,"65,800",73.1,Not Available,,Manufacturing/Industrial Plant,1965,344.4,5.2,"4,812,496.50",57.00%,43.00%,,2.3,,,,202162080,"2014, 2015, 2016, 2017, "
1139,KENT,Municipal ,K-12 School,50 Bunker Hill St.,2129,"93,350",83.2,70,,K-12 School,1972,451.5,4.8,"7,768,084.90",15.50%,84.50%,,,,,,202920000,"2016, 2017, "
1140,WARREN PRESCOTT,Municipal ,K-12 School,50 School St.,2129,"59,330",41.1,99,,K-12 School,1963,143.8,2.4,"2,439,429.20",18.00%,82.00%,,,,,,200276000,"2016, 2017, "
1141,CCC,Yes,Other,50 Terminal St,2129,"403,000",31.8,Not Available,,Other,1920,954.6,2.4,"12,812,544.10",66.20%,33.80%,,1.8,,,,202751000,"2016, 2017, "
1142,500 - 570 Rutherford Ave,Yes,Other,500 Rutherford Ave,2129,"448,436",125.7,Not Available,,"College/University, Office, Other",1925,"4,780.40",10.7,"56,354,822.20",98.10%,1.90%,,14.1,,,,202161000,"2016, 2017, "
1143,Wise Realty,Yes,Mixed Use Property,511 Medford Street,2129,"37,636",Not Available,Not Available,,Other,1925, Not Available ,Not Available, Not Available ,,,,7.1,,,,201806000,"2016, 2017, "
1144,Engine 32,Municipal ,Fire Station,525 Main St,2129,"10,914",116.7,Not Available,,Fire Station,2000,81.6,7.5,"1,273,827.30",34.00%,66.00%,,20.3,,,,201825000,"2016, 2017, "
1145,Schraffts Center,Yes,Office,529 Main Street,2129,"609,636",55.4,93,2016,"Office, Parking",1928,"2,660.80",4.4,"33,745,459.20",79.60%,20.40%,,1186,,,,0201829000 0201829002,"2014, 2015, 2016, 2017, "
1146,Bunker Hill Mall - Reporting,Yes,Strip Mall,5-31 Austin Street,2129,"46,457",168,Not Available,,"Parking, Strip Mall",1985,538.6,11.6,"7,804,136.50",49.20%,50.80%,,87.2,,Boston Tax Parcel 0202210000,,202210000,"2016, 2017, "
1147,56 Roland Street,Yes,Office,56 Roland Street,2129,"132,614",33.9,Not Available,,"Office, Other",1910,312.7,2.4,"4,495,412.90",50.90%,49.10%,,4.2,,We have been doing building renovations for about 18 months which has caused and heightened energy usage.,,202125000,"2015, 2016, 2017, "
1148,Massachusetts General Physicians Organization,Yes,Office,62 13th Street,2129,"49,063",54.7,92,,Office,1900,204.8,4.2,"2,685,844.70",71.60%,28.40%,,12,,,,203510020,"2017, "
1149,7 Sherman St.,Yes,Other - Services,7 Sherman St.,2129,"39,000",73,Not Available,,Other - Services,1920,182.6,4.7,"2,846,317.20",40.00%,56.40%,,20.9,"29,820",,,201864000,"2016, 2017, "
1150,PHS-MGH-CNY 75,Yes,Laboratory,75 Thirteenth St.,2129,"51,880",323.6,Not Available,,Laboratory,1848,417.7,8.1,"16,786,101.40",53.10%,46.90%,,27.1,,,,203510155,"2014, 2015, 2016, 2017, "
1151,Gatehouse 75,Yes,Multifamily Housing,75 W School St,2129,"95,087",50.1,83,,"Multifamily Housing, Parking",2013,343.7,3.6,"4,763,529.20",58.90%,41.10%,,35.9,,"There are three different water meters on the property, so we reported them separately instead of as one meter. WAgt280001 refers to meter #70263683, WAgt280002 refers to the fireline, and WAgt280003 refers to meter #70263683.",,202360000,"2016, 2017, "
1152,Holden,Municipal ,K-12 School,8 Pearl St,2129,"11,212",7.1,100,,K-12 School,2000,6.8,0.6,"79,755.50",100.00%,,,,,,,200638000,"2016, 2017, "
1153,CharlesNewtown,Yes,Multifamily Housing,89 Medford Street,2129,"283,936",112.5,18,,"Multifamily Housing, Parking",1971,"1,962.80",6.9,"31,945,615.40",25.80%,74.20%,,99.3,,,,"0202734000	0202740000	0202745000","2015, 2016, 2017, "
1154,Zelma Lacey Assisted Living: 9 West School St,Yes,Multifamily Housing,9 W School St,2129,"39,384",89.3,18,,Multifamily Housing,2004,236.4,6,"3,516,181.10",43.60%,56.40%,,81.4,,,,202350000,"2017, "
1155,Constellation Wharf Condominium,Yes,Multifamily Housing,Pier 7 Ninth Street,2129,"177,451",61.1,3,,"Multifamily Housing, Parking",1986,853.7,5.2,"9,991,639.70",100.00%,,,15.4,,,,203516001,"2015, 2016, 2017, "
1156,PHS-MGH-CNY Bldg 199,Yes,Parking,199 13th St.,02129-2000,"664,937",3.4,Not Available,,Parking,1900, Not Available ,Not Available,"2,287,360.80",100.00%,,,,,,,203515600,"2017, "
1157,Jamaica Pond Boat House,Municipal ,Other - Recreation,0 Jamaicaway,2130,100,Not Available,Not Available,,Other - Recreation,2000, Not Available ,Not Available, Not Available ,,,,792,,,,1902186000,"2016, 2017, "
1158,The 10 Jamaicaway Condo Trust,Voluntary,Multifamily Housing,10  Jamaicaway,2130,"21,976",97.8,73,,Multifamily Housing,1928,123.5,5.6,"2,149,829.40",13.30%,86.70%,,50.4,,,,1001390000,"2017, "
1159,Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",2130,"98,205",77.7,90,,Multifamily Housing,1964,431.9,4.4,"7,631,903.60",10.80%,89.20%,,8013.1,,,,1102906000,"2015, 2016, 2017, "
1160,Jamaicaway Tower and Townhouses,Yes,Multifamily Housing,111 Perkins Street,2130,"445,701",58,77,,Multifamily Housing,1965,"1,997.80",4.5,"25,843,601.30",29.70%,1.20%,,23.7,,,,1002149000,"2015, 2016, 2017, "
1161,PHS-Faulkner Hospital,Yes,Hospital (General Medical & Surgical),1153 Centre Street,2130,"454,917",292.4,37,,Hospital (General Medical & Surgical),1903,"5,410.90",11.9,"133,007,388.60",23.50%,76.40%,,18.3,,,,1902600000,"2014, 2016, 2017, "
1162,Jamaica Plain Branch,Municipal ,Library,12 Sedgewick St,2130,"9,252",Not Available,Not Available,,Library,2000, Not Available ,Not Available, Not Available ,,,,6.4,,,,1901289000,"2016, 2017, "
1163,MANNING,Municipal ,K-12 School,130 Louders Ln.,2130,"22,336",64.8,92,,K-12 School,1941,86.2,3.9,"1,447,084.40",20.00%,80.00%,,,,,,1902518000,"2016, 2017, "
1164,Franklin Park Villa,Yes,Multifamily Housing,131 Morton Street,2130,"67,049",Not Available,Not Available,,Multifamily Housing,2002, Not Available ,Not Available, Not Available ,,,,,,,,1103774000,"2015, 2017, "
1165,Sherrill House,Yes,Senior Care Community,135 South Huntington Avenue,2130,"117,770",120.1,73,,"Parking, Senior Care Community",1970,920.7,7.8,"14,149,165.20",37.00%,63.00%,,40.6,,,,1001629000,"2014, 2015, 2016, 2017, "
1166,14-16 Lakeville Road,Yes,Multifamily Housing,14-16 Lakville Road,2130,"36,020",76.8,Not Available,,Multifamily Housing,1936,208,5.8,"2,765,817.10",9.00%,,,26.2,,,,1901984000,"2017, "
1167,English HS,Municipal ,K-12 School,144 McBride St.,2130,"225,560",90.2,52,,K-12 School,1973,"1,168.50",5.2,"20,348,984.60",13.30%,86.70%,,,,,,1102600000,"2016, 2017, "
1168,Nate Smith House: 155 Lamartine St - Compliance,Yes,Multifamily Housing,155 Lamartine St,2130,"40,830",71.8,45,,Multifamily Housing,1998,180.3,4.4,"2,930,919.40",26.00%,74.00%,,42.8,,,,1900029010,"2015, 2016, 2017, "
1169,Olmsted Place,Yes,Multifamily Housing,161 South Huntington Avenue,2130,"256,875",33.4,100,,"Multifamily Housing, Parking, Swimming Pool",2015,566.4,2.2,"8,577,666.30",40.00%,60.00%,,0.4,,,,1001631000,"2017, "
1170,Laurel Ridge Rehabilitation and Skilled Care Center,Yes,Senior Care Community,174 Forest Hills St.,2130,"37,000",161,23,,Senior Care Community,1971,426.4,11.5,"5,958,346.00",57.10%,42.90%,,12.2,,,,1102969000,"2017, "
1171,Franklin Park Greenhouse,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",190 Morton Street,2130,"25,000",213.9,Not Available,,Other,2000,294.8,11.8,"5,347,526.10",6.20%,93.80%,,,,,,1203487000,"2016, 2017, "
1172,Perkins Manor,Yes,Multifamily Housing,2 - 18 Perkins Square,2130,"129,236",63,97,,"Multifamily Housing, Parking",1927,609.2,4.7,"8,139,738.30",10.00%,2.30%,,4763.2,,,,1002148001,"2016, 2017, "
1173,AGASSIZ,Municipal ,K-12 School,20 Child St.,2130,"115,400",78.7,64,,K-12 School,1972,545,4.7,"9,083,252.90",21.30%,78.70%,,,,,,1103019000,"2016, 2017, "
1174,Curtis Hall Community Center,Municipal ,Social/Meeting Hall,20 S St,2130,"37,995",88.5,Not Available,,Other - Recreation,2000,208.1,5.5,"3,363,960.90",27.10%,72.90%,,,,,,1901289000,"2016, 2017, "
1175,HENNIGAN,Municipal ,K-12 School,200 Heath St.,2130,"137,800",186.6,13,,"K-12 School, Swimming Pool",1972,"1,389.00",10.1,"25,715,924.00",2.80%,97.20%,,,,,,1001673000,"2016, 2017, "
1176,2-16 hyde Park Ave,Yes,Multifamily Housing,2-16 Hyde park ave ,2130,"35,328",Not Available,Not Available,,"Multifamily Housing, Retail Store",1940, -   ,0, Not Available ,,,,,,,,1103654000,"2017, "
1177,South St Apartments,Yes,Multifamily Housing,218-230 South St ,2130,"83,475",Not Available,Not Available,,Multifamily Housing,1940, -   ,0, Not Available ,,,,,,,,1103286000,"2017, "
1178,The Jefferson Schoolhouse Condominium,Yes,Other - Lodging/Residential,240 Heath Street,2130,"12,600",128.8,Not Available,,Other - Lodging/Residential,1987,138.7,11,"1,623,473.90",100.00%,,,167.8,,,,1001671000,"2016, 2017, "
1179,FULLER,Municipal ,K-12 School,25 Glen Rd.,2130,"19,887",68.5,93,,K-12 School,1892,78.8,4,"1,363,226.40",14.40%,85.60%,,9.6,,,,1102901000,"2016, 2017, "
1180,PARKMAN,Municipal ,K-12 School,25 Walk Hill St.,2130,"39,586",91.6,72,,K-12 School,1899,209.1,5.3,"3,624,958.70",14.10%,85.90%,,,,,,1904771000,"2016, 2017, "
1181,Brewery Lofts,Yes,Multifamily Housing,251 Heath St Pub,2130,"86,900",68.7,40,,Multifamily Housing,1000,406,4.7,"5,966,694.50",46.20%,53.80%,,36.6,,,,1001480000,"2015, 2016, 2017, "
1182,0075 Jamaica Plain,Yes,Supermarket/Grocery Store,301 Centre St.,2130,"46,685",208.1,75,,Supermarket/Grocery Store,2005,715.9,15.3,"9,715,535.30",63.60%,36.40%,,18.8,,,,1001850010,"2016, 2017, "
1183,Commerce Apartments,Yes,Multifamily Housing,3115 Washington Street,2130,"26,000",57.7,85,,Multifamily Housing,1940,84.9,3.3,"1,501,408.30",10.60%,89.40%,,37.6,,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units.",,1101302000,"2015, 2016, 2017, "
1184,EGLESTON,Yes,K-12 School,3134 Wasington St,2130,"30,000",5.4,100,,K-12 School,1978,13.9,0.5,"162,274.70",100.00%,,,,,,,1101465010,"2016, 2017, "
1185,JP Plaza,Yes,Strip Mall,315 Centre Street,2130,"43,792",132.7,Not Available,,"Parking, Strip Mall",1991,468.1,10.7,"5,812,833.80",84.80%,15.20%,,23.2,,,,1001850100,"2016, 2017, "
