,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
708,District 8 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",58 Dana Ave,02136,3000,259.4,Not Available,,Repair Services,2000,56.7,18.9,778238.9,0.23944624202156947,0.31853969607533106,,,,,,Not Available,2016
709,DIV Shawmut LLC,Yes,Pre-school/Daycare,112 Shawmut Avenue,02118,70002,36.1,Not Available,,Pre-school/Daycare,1930,169,2.4,2525899.9,0.32,0.68,,27.0,,,,Not Available,"2014, 2015, 2016"
710,Dix Hall,Yes,College/University,30 Pilgrim Road,02115,22000,109.4,Not Available,,College/University,1953,157.9,7.2,2406498.9,0.29,0.71,,42.8,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402016000,"2015, 2016"
711,Dorchester House Apartments: 10 Ellet Street,Yes,Multifamily Housing,10 Ellet St,02122,59400,52.2,71,,Multifamily Housing,1983,265,4.5,3100849.2,0.74,0.26,,44.8,,,,1500507000,"2015, 2016"
712,DORCHESTER HS,Municipal,K-12 School,9 Peacevale Rd.,02124,143173,71,74,,K-12 School,1925,624.4,4.4,10160901.2,0.1911248990394671,0.8088750998779518,,,,,,Not Available,2016
713,DOT HS ANNEX,Municipal,K-12 School,9 Peacevale Rd.,02124,10287,114,52,,K-12 School,1995,73.7,7.2,1172741.6,0.2234435957588611,0.7765564400546547,,,,,,Not Available,2016
714,Doubletree By Hilton Downtown Boston,Yes,Hotel,821 Washington Street,02111,396000,22.7,Not Available,,Hotel,2000,870.2,2.2,8995160.7,1.0,,,9.3,,,,Not Available,"2015, 2016"
715,Doubletree Club Hotel Boston Bayside,Yes,Hotel,240 Mt. Vernon Street,02125,91000,81.7,67,,Hotel,1999,644.6,7.1,7433643.3,0.77,0.23,,68.1,,no contextual info will be disclosed in the first year.,,03448-000,"2014, 2015, 2016"
716,Doubletree Suites,Yes,Hotel,400 Soldiers Field Rd,02134,244038,68.6,Not Available,,Hotel,1990,1361.4,5.6,16748451.9,0.65,0.35,,66.4,,,,2200102000,"2015, 2016"
717,Draper Pool,Municipal,Other - Recreation,5279 Washington St,02132,12780,254.1,Not Available,,Other - Recreation,2000,208.1,16.3,3247569.2,0.25156331695718753,0.7484366972072527,,,,,,Not Available,2016
718,Dudley Branch,Municipal,Library,65 Warren St,02116,25933,118.5,Not Available,,Library,2000,207.6,8,3073503,0.33073110389025157,0.66926887264792,,,,,,Not Available,2016
719,Dudley St,Yes,Non-Refrigerated Warehouse,55 Humphreys St,02125,105000,0.6,100,,Non-Refrigerated Warehouse,1950,6,0.1,62119.8,1.0,,,10.2,," 
 ",,0703676000,"2014, 2015, 2016"
720,Dutch Maid Bakery,Yes,Manufacturing/Industrial Plant,44 Park Street,02122,140000,Not Available,Not Available,,Manufacturing/Industrial,1990,Not Available,Not Available,Not Available,,,,,,,,4993319,"2015, 2016"
721,E-05 Station,Municipal,Police Station,1708 Centrer St,02132,14290,222.8,Not Available,,Police Station,2000,214.1,15,3183850.9,0.323555050897641,0.6764449559808219,,,,,,Not Available,2016
722,E-13 Station,Municipal,Police Station,3347 Washington St,02130,14750,149.9,Not Available,,Police Station,2000,153.1,10.4,2210307.1,0.370358960526345,0.6296409973075687,,,,,,Not Available,2016
723,E-18 Station,Municipal,Police Station,1249 Hyde Park Ave,02136,23400,106.8,Not Available,,Police Station,2000,164.5,7,2499411.4,0.29115309308423576,0.7088468954730702,,,,,,Not Available,2016
724,East Boston Branch,Municipal,Library,276 Meridian St,02128,9720,34.1,Not Available,,Library,2000,19.7,2,331637.8,0.14575480840845043,0.8542452518983059,,,,,,Not Available,2016
725,EAST BOSTON HS,Municipal,K-12 School,86 White St.,02128,212505,73.4,73,,K-12 School,1926,924.7,4.4,15600394.2,0.14111784765028568,0.8588821480267467,,,,,,Not Available,2016
726,East Boston Stadium,Municipal,Other,143 Porter St,02128,112500,8.9,Not Available,,Other,2000,83.3,0.7,1000981.3,0.8604808901025424,,,,,,,Not Available,2016
727,East Canton,Yes,Multifamily Housing,79-109 East Canton St,02113,55936,108.3,84,,Multifamily Housing,1980,452.1,8.1,6055882.1,0.07,0.05,,76.2,,,,0801213000,2016
728,Economy Plumbing && Heating Supply Co,Yes,Distribution Center,875 Morton Street,02126,65000,39.5,Not Available,,Distribution Center,2007,184.1,2.8,2570490.4,0.42,0.58,,5.5,,Plumbing & Heating Supply Company - Primarily used as a Warehouse storage and distribution with roughly only 10% used as offices. ,,4051719,"2014, 2015, 2016"
729,EDISON,Municipal,K-12 School,60 Glenmont Rd.,02135,100500,65.8,88,,K-12 School,1932,389.5,3.9,6608060.8,0.13351289261745292,0.8664871186823826,,,,,,Not Available,2016
730,EDWARDS,Municipal,K-12 School,28 Walker St.,02129,81668,60.3,90,,K-12 School,1932,300.5,3.7,4921099.8,0.18197149181977573,0.8180285208208946,,,,,,Not Available,2016
731,EEC EAST BOSTON,Municipal,K-12 School,135 Gove St.,02128,36400,63,75,,K-12 School,1998,162.9,4.5,2294407.2,0.4103488168970181,0.5896511819262074,,,,,,Not Available,2016
732,EEC MATTAPAN,Municipal,K-12 School,108 Babson St.,02126,36820,68.4,70,,K-12 School,1998,176,4.8,2520272.9,0.38296365127760573,0.6170363377711994,,,,,,Not Available,2016
733,EEC ROXBURY,Municipal,K-12 School,263 Blue Hill Ave.,02119,35000,84.5,57,,K-12 School,1998,198.5,5.7,2958772.5,0.32063042359627175,0.6793695743420625,,,,,,Not Available,2016
734,EGLESTON,Municipal,K-12 School,3134 Wasington St,02130,30000,5.7,100,,K-12 School,1978,16.5,0.5,170054.1,0.9999998823903686,,,,,,,Not Available,2016
735,Egleston Branch,Municipal,Library,2044 Columbus Ave,02119,6000,101,Not Available,,Library,2000,40.7,6.8,606196.1,0.3221664672537484,0.6778334454807611,,,,,,Not Available,2016
736,Egleston Crossing,Yes,Multifamily Housing,3033 Washington Street,02119,95127,52.5,80,,"Multifamily Housing, Parking",2005,350,3.7,4997591,0.39,0.61,,46.5,,,,11010050001101282000,"2015, 2016"
737,Eleven West,Yes,Multifamily Housing,11 West Broadway,02127,108163,15.6,100,,"Multifamily Housing, Other - Restaurant/Bar, Parking",2013,112.2,1,1682909.5,0.31,0.69,,23.7,,Property has an average monthly occupancy of 90% for 2015,,0600055010 060006100,"2015, 2016"
738,ELIOT,Municipal,K-12 School,18 Charter St.,02113,34603,54.4,95,,K-12 School,1932,117.3,3.4,1881221.9,0.21184188850873997,0.7881580738508308,,,,,,Not Available,2016
739,ELLIS,Municipal,K-12 School,302 Walnut Ave.,02119,51123,56.8,95,,K-12 School,1932,173.4,3.4,2906107.5,0.14985945289360425,0.8501405419448522,,,,,,Not Available,2016
740,Ellsworth Supply,Yes,Non-Refrigerated Warehouse,1334 Dorchester Ave,02122,38833,10.9,86,,Non-Refrigerated Warehouse,1975,37.4,1,421777.9,0.64,,,1.0,,,,Not Available,2016
741,Embassy Suites Boston Logan Airport,Yes,Hotel,207 Porter Street,02128,488000,44.8,96,,"Hotel, Parking",2003,1586.4,3.3,21839798,0.45,0.55,,15.0,,City of Boston parcel ID 0104102000.  167 Cottage St/ 207 Porter St. East Boston,,Not Available,2016
742,EMERSON,Municipal,K-12 School,6 Shirley St.,02119,23320,74.8,83,,K-12 School,1924,109.7,4.7,1743670.7,0.22479620721963156,0.7752037517284657,,,,,,Not Available,2016
743,Emerson Place,Yes,Multifamily Housing,5 Longfellow Place,02114,509460,79.9,33,,Multifamily Housing,1962,2804,5.5,40729234.4,0.36,0.64,,30.1,,"2014-1)  Assessor's address is 1 25 Emerson Pl.
2014-2)  Commercial is 3% of total bldg sq ft so did not break out as separate use.  No ind space is over 5,000 sq ft.",,0300449000,"2015, 2016"
744,Emmanuel Church,Yes,Worship Facility,15 Newbury Street,02116,43779,47878.2,1,,Worship Facility,1861,139186,3179.3,2096060854.6,0.0,,1.0,13.3,,,,0501198000,2016
745,Engine 02,Municipal,Fire Station,700 East Fourth St,02127,14040,100.7,Not Available,,Fire Station,2000,89.1,6.3,1413289.1,0.22768811561625996,0.7723119225924829,,,,,,Not Available,2016
746,Engine 03,Municipal,Fire Station,618 Harrison Ave,02111,6000,131.7,Not Available,,Fire Station,2000,49.7,8.3,790276.6,0.22318327026258908,0.7768166796283732,,,,,,Not Available,2016
747,Engine 04,Municipal,Fire Station,200 Cambridge St,02129,18150,84.6,Not Available,,Fire Station,2000,99.1,5.5,1534770.1,0.2619741419252304,0.7380258345533315,,,,,,Not Available,2016
748,Engine 05,Municipal,Fire Station,360 Saratoga St,02128,10080,125.9,Not Available,,Fire Station,2000,79.1,7.8,1268617.6,0.2116615566424429,0.7883384442246425,,,,,,Not Available,2016
749,Engine 07,Municipal,Fire Station,200 Columbus Ave,02116,11376,108.4,Not Available,,Fire Station,2000,117.3,10.3,1233584.2,0.9616564155085644,0.03834355076856529,,,,,,Not Available,2016
750,Engine 08,Municipal,Fire Station,392 Hanover St,02109,9926,172.5,Not Available,,Fire Station,2000,104.1,10.5,1712465.5,0.17557459697728217,0.8244253787302576,,,,,,Not Available,2016
751,Engine 09,Municipal,Fire Station,239 Sumner St,02128,18836,120.9,Not Available,,Fire Station,2000,151,8,2276643,0.3030966559096002,0.6969033409278486,,,,,,Not Available,2016
752,Engine 10,Municipal,Fire Station,125 Purchase St,02110,30052,133.7,Not Available,,Fire Station,2000,283.8,9.4,4019443.6,0.4007379986623024,0.5992620244503494,,,,,,Not Available,"2014, 2015, 2016"
753,Engine 14,Municipal,Fire Station,174 Dudley St,02119,13200,134.8,Not Available,,Fire Station,2000,120.8,9.1,1779567.4,0.3379851530208971,0.6620148261313396,,,,,,Not Available,2016
754,Engine 16,Municipal,Fire Station,9 Gallivan Boulevard,02124,18060,47.4,Not Available,,Fire Station,2000,59.1,3.3,856775.7,0.3649446173601796,0.6350553691777207,,,,,,Not Available,2016
755,Engine 17,Municipal,Fire Station,7 Parish St,02122,10008,136.8,Not Available,,Fire Station,2000,84.4,8.4,1369478.2,0.1954600109735226,0.8045400010748619,,,,,,Not Available,2016
756,Engine 18,Municipal,Fire Station,1884 Dorchester Ave,02124,10800,63.3,Not Available,,Fire Station,2000,47.5,4.4,683109.9,0.28991340339233845,0.533442743985997,,,,,,Not Available,2016
757,Engine 20,Municipal,Fire Station,301 Neponset Ave,02122,12000,97,Not Available,,Fire Station,2000,71.7,6,1164356.8,0.19457678264944214,0.8054231765555024,,,,,,Not Available,2016
758,Engine 21,Municipal,Fire Station,641 Columbia Rd,02125,12000,84.2,Not Available,,Fire Station,2000,60,5,1010300,0.14381868751855884,0.8561813462238939,,,,,,Not Available,2016
759,Engine 22,Municipal,Fire Station,700 Tremont St,02118,10500,41,Not Available,,Fire Station,2000,35.7,3.4,430622.6,0.6804625674546575,0.31953735839688857,,,,,,Not Available,2016
760,Engine 24,Municipal,Fire Station,36 Washington St,02121,12600,114.3,Not Available,,Fire Station,2000,92.7,7.4,1440722,0.2565532837008111,0.7434466792344394,,,,,,Not Available,2016
761,Engine 28,Municipal,Fire Station,746 Centre St,02119,13424,87.6,Not Available,,Fire Station,2000,80.2,6,1176056.3,0.34628981622733535,0.6537102097067972,,,,,,Not Available,2016
762,Engine 29,Municipal,Fire Station,138 Chestnut Hill Ave,02135,11292,135.7,Not Available,,Fire Station,2000,94.9,8.4,1532421.4,0.20165564641684072,0.7983443689183667,,,,,,Not Available,2016
763,Engine 30,Municipal,Fire Station,1940 Centre St,02132,9600,115.2,Not Available,,Fire Station,2000,72,7.5,1105498.4,0.2756208638565194,0.7243791399426721,,,,,,Not Available,2016
764,Engine 32,Municipal,Fire Station,525 Main St,02129,10914,137.7,Not Available,,Fire Station,2000,98.3,9,1502679.9,0.28228223455973556,0.7177177420181106,,,,,,Not Available,2016
765,Engine 33,Municipal,Fire Station,941 Boylston St,02115,11580,126.3,Not Available,,Fire Station,2000,113.5,9.8,1462941.3,0.2625223035264641,0.11907517950310104,,,,,,Not Available,2016
766,Engine 37,Municipal,Fire Station,560 Huntington Ave,02115,15824,106.5,Not Available,,Fire Station,2000,101.7,6.4,1684757.2,0.1656364750956399,0.834363533154807,,,,,,Not Available,2016
767,Engine 39,Municipal,Fire Station,272 D Street,02127,15640,97.8,Not Available,,Fire Station,2000,101.7,6.5,1529045.3,0.30669155452752117,0.6933084282722035,,,,,,Not Available,2016
768,Engine 41,Municipal,Fire Station,460 Cambridge St,02134,12696,141.5,Not Available,,Fire Station,2000,124.1,9.8,1796078.2,0.3657291982052897,0.6342708130414367,,,,,,Not Available,2016
769,Engine 42,Municipal,Fire Station,1870 Columbus Ave,02119,10384,115.5,Not Available,,Fire Station,2000,77,7.4,1199568.8,0.253898540875688,0.7461014266126295,,,,,,Not Available,2016
770,Engine 48,Municipal,Fire Station,60 Fairmount Ave,02136,16062,89.2,Not Available,,Fire Station,2000,93.1,5.8,1432923.4,0.2721173790587829,0.7278825990977607,,,,,,Not Available,2016
771,Engine 49,Municipal,Fire Station,209 Neponset Valley Parkway,02122,6750,80.5,Not Available,,Fire Station,2000,35.6,5.3,543171,0.28567603204147496,0.7143239107021545,,,,,,Not Available,2016
772,Engine 50,Municipal,Fire Station,34 Winthrop St,02129,12000,65,Not Available,,Fire Station,2000,51,4.2,779994.2,0.2801229086062435,0.7198771401120675,,,,,,Not Available,2016
773,Engine 51,Municipal,Fire Station,425 Faneuil St,02135,8550,121.9,Not Available,,Fire Station,2000,64.6,7.6,1042153.4,0.20338027012146195,0.7966197396659646,,,,,,Not Available,2016
774,Engine 52,Municipal,Fire Station,975 Blue Hill Ave,02124,7760,230.8,Not Available,,Fire Station,2000,115,14.8,1790751.4,0.2539444391890466,0.7460555411544003,,,,,,Not Available,2016
775,Engine 53,Municipal,Fire Station,945 Canterbury St,02131,18644,90.2,Not Available,,Fire Station,2000,109.3,5.9,1681772.6,0.2726722982643432,0.727327723617331,,,,,,Not Available,2016
776,Engine 54,Municipal,Fire Station,Long Island Road,02169,5000,Not Available,Not Available,,Fire Station,2000,0,0,Not Available,,,,,,,,Not Available,2016
777,Engine 55,Municipal,Fire Station,5115 WASHINGTON ST,02132,17912,60.2,Not Available,,Fire Station,2000,71.7,4,1077427.5,0.3070531613496036,0.6929468401261337,,,,,,Not Available,2016
778,Engine 56,Municipal,Fire Station,1 Ashley St,02128,6844,156.8,Not Available,,Fire Station,2000,65.9,9.6,1073128.2,0.1897519420326481,0.810248042498557,,,,,,Not Available,2016
779,English HS,Municipal,K-12 School,144 McBride St.,02130,225560,103.9,44,,K-12 School,1973,1335.6,5.9,23435829,0.0888139772653231,0.911186020342613,,,,,,Not Available,2016
780,Erie-Ellington,Yes,Multifamily Housing,31 Erie Street,02121,55319,79,54,,"Multifamily Housing, Parking",1999,284.3,5.1,4367519.4,0.27,0.73,,92.1,,,,1401002010140181201014018150101401830001140183100014018530101402475010,"2015, 2016"
781,Esteves Hall,Yes,Residence Hall/Dormitory,45 Harvard Way,02163,78375,64.7,81,,Residence Hall/Dormitory,1969,394.4,5,5071572.4,0.37,,0.63,21.2,,"Formerly called Baker Hall, a complete gut renovation took place from Feb 2014 to March 2015. This can account for the decreased or incomplete usages. The water had been shut off to the building in Feb 2014. The steam had also been shut off from June 2014 until Dec 2014.
Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 81% of the meter shared with McCollum. Allocation is by GSF.",,2200530000,"2014, 2015, 2016"
782,Evans Hall,Yes,College/University,305 Brookline Avenue,02115,31900,99,Not Available,,College/University,1938,196.8,6.2,3157990.1,0.21,0.79,,39.1,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402022000,"2015, 2016"
783,EVERETT,Municipal,K-12 School,71 Pleasant St.,02125,31410,63.4,93,,K-12 School,1909,120.3,3.8,1989880,0.16768847970731904,0.8323115424095926,,,,,,Not Available,2016
784,Evergreen Cemetery Administration Building,Municipal,Office,2060 Commonwealth Ave,02135,1800,88.6,Not Available,,Office,2000,1,0.6,159559.5,0.065755407857257,,,,,,,Not Available,2016
785,Eversource Energy Mass Ave SC,Yes,Office,1165 Massachusetts Avenue,02125,238729,203.8,Not Available,,Office,1984,4122.9,17.3,48647258.4,0.73,0.27,,6.5,,,,Not Available,"2014, 2015, 2016"
786,Eversource Energy Sta 514,Yes,Energy/Power Station,75 Kingston Street ,02111,82353,Not Available,Not Available,,Energy/Power Station,1988,0,0,Not Available,,,,,,,,Not Available,"2014, 2015, 2016"
787,Eversource Energy Sta 53,Yes,Energy/Power Station,75 High Street,02110,60195,Not Available,Not Available,,Energy/Power Station,2000,0,0,Not Available,,,,0.1,,,,Not Available,2016
788,Eversource Energy Sta 71,Yes,Energy/Power Station,80-84 Warrenton Street,02116,40500,Not Available,Not Available,,Energy/Power Station,1945,0,0,Not Available,,,,1.0,,,,Not Available,2016
789,Exelon New Boston Station,Yes,Energy/Power Station,776 Summer Street,02127,261600,1.9,Not Available,,"Energy/Power Station, Parking",1898,47.1,0.2,486700.9,1.0,,,5.1,,"Parking square footage as reported only includes designated parking areas.   ""Informal"" parking may also occur elsewhere within the paved lot.  A portion of the property, including the main parking lot, was sold in mid-2015. ",,0603406000,"2014, 2015, 2016"
790,Exeter Theatre Corporation,Yes,Other - Education,26 Exeter Street,02116,46025,154.3,Not Available,,"Office, Other - Education, Other - Restaurant/Bar",1899,483.1,10.5,7099707.6,0.34,0.66,,106.9,,,,0501376000,"2014, 2015, 2016"
791,Fairlawn Apartments,Yes,Multifamily Housing,15 Bismarck Street,02126,287748,74.4,97,,"Multifamily Housing, Parking",1968,1611,5.6,21415218.8,0.05,,,59.4,,"This property includes 347 apartments with 12 buildings & 1 office.
15 Bismarck St.
2 Bismarck St.
4 Bismarck St.
6 Bismarck St.
785 Cummins Hwhy
795 Cummins Hwhy
20 Fairlawn Ave.
30-32 Fairlawn Ave
40 Fairlawn Ave
50 Fairlawn Ave
60 - 62 Fairlawn Ave
70 Fairlawn Ave
80 Fairlawn Ave",,1801980000,"2015, 2016"
792,Fairmont Copley Plaza Boston,Yes,Hotel,138 St. James Ave.,02116,334522,143.6,23,,Hotel,1985,3413.1,10.2,48041917.8,0.41,0.59,,55.1,,,,0401087000,"2014, 2015, 2016"
793,Fairview Cemetery Administration Building,Municipal,Office,45 Fairview Ave,02136,2400,88.3,Not Available,,Office,2000,4.5,1.9,212027.7,0.22163838026823854,,,,,,,Not Available,2016
794,Family Justice Center,Municipal,Social/Meeting Hall,989 Commonwealth Ave,02215,35000,86.3,Not Available,,Social/Meeting Hall,2000,219,6.3,3021635,0.44404267226187144,0.5559573234689167,,,,,,Not Available,2016
795,Family Service Association of Greater Boston,Yes,Other,31 Heath Street,02130,39235,40.9,Not Available,,Other,1999,155.3,4,1605480.3,1.0,,,5.5,,,,Not Available,2016
796,Faneuil Branch,Municipal,Library,319 Faneuil Street,02135,8072,85.9,Not Available,,Library,2000,44.1,5.5,693647.1,0.24096843481361052,0.7590315010327299,,,,,,Not Available,2016
797,Faneuil Hall,Municipal,Other - Mall,Faneuil Hall South Market St.,02109,28000,72.4,Not Available,,Other - Mall,2000,163.1,5.8,2028080.5,0.46130831591744015,,0.5386916347748524,,,,,Not Available,2016
798,FARRAGUT,Municipal,K-12 School,10 Fenwood Rd.,02115,35055,47.9,97,,K-12 School,1904,106.2,3,1679232.9,0.2324470893823007,0.7675529064491293,,,,,,Not Available,2016
799,FEC,Yes,Manufacturing/Industrial Plant,71 Von Hillern Street,02125,45565,85.4,Not Available,,Manufacturing/Industrial,1910,270.5,5.9,3892160.7,0.2,0.44,,2.0,,,,Not Available,2016
800,Federal Express Building,Yes,Distribution Center,775 Summer Street,02109,97000,Not Available,Not Available,,"Distribution Center, Office",1995,Not Available,Not Available,Not Available,,,,,,,,0603405000,"2015, 2016"
801,Feldberg Garage,Yes,Parking,340 Brookline Ave,02115,159333,4.7,Not Available,,Parking,1975,69.6,0.4,745904.1,1.0,,,,,,,Not Available,"2014, 2015, 2016"
802,Fenmore Condominium,Yes,Multifamily Housing,"1109-1111 Boylston Street, 50, 52, 56, 60 and 64 Charlesgate East",02215,107517,123.3,57,,Multifamily Housing,1930,779.7,7.3,13253988.1,0.13,0.87,,76.4,,,,504165000,"2015, 2016"
803,Fens Stadium,Municipal,Other,Parkdrath St Fld,02215,1000,298.7,Not Available,,Other,2000,28.9,28.9,298724,1.00000004017086,,,,,,,Not Available,2016
804,Fenway By The Park Condominium,Yes,Multifamily Housing,125-131 Park Drive,02215,49150,110.2,62,,Multifamily Housing,1950,319.7,6.5,5414323,0.14,0.86,,49.3,,,,0504275000,"2015, 2016"
805,Fenway Park,Yes,Stadium (Open),4 Yawkey Way,02215,610000,121.8,Not Available,,Stadium (Open),1912,6096.8,10,74289629.2,0.66,0.34,,44.2,,,,Not Available,"2014, 2015, 2016"
806,Fenway Triangle Trilogy,Yes,Multifamily Housing,180 Brookline Ave,02115,469608,131.9,Not Available,,"Bank Branch, Food Sales, Multifamily Housing, Office, Parking, Retail Store",2006,4474,9.5,61940697.3,0.44,0.56,,49.9,,Parcel ID 2100051014,,2100051014,"2015, 2016"
807,Fenway Views Condominium,Yes,Multifamily Housing,"104, 106 &108 Peterborough Street, 51-67 Kilmarnock Street",02215,43281,94,59,,"Multifamily Housing, Parking",1990,261,6,4067173.5,0.25,0.75,,75.8,,,,2100033010,"2015, 2016"
808,Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,02129,66240.5,Not Available,Not Available,,Manufacturing/Industrial,1965,Not Available,Not Available,Not Available,,,,,,,,0202162080,"2014, 2015, 2016"
809,Field Corp - 1940 and 1950 Commonwealth,Yes,Multifamily Housing,1940-1950 Commonwealth Avenue,02135,60500,Not Available,Not Available,,Multifamily Housing,1912,Not Available,0,Not Available,,,,25.2,,,,Not Available,"2015, 2016"
810,"Field Corp 81,85,89 Strathmore Road",Yes,Multifamily Housing,"81,85 and 89 Strathmore Road",02135,51400,Not Available,Not Available,,Multifamily Housing,1912,Not Available,0,Not Available,,,,43.5,,,,Not Available,"2015, 2016"
811,Field Support Unit,Municipal,Police Station,170 HANCOCK ST,02125,7200,95.4,Not Available,,Police Station,2007,49.2,6.8,686902.4,0.4232077220868641,0.5767922843623781,,,,,,Not Available,2016
812,Fields Corner Branch,Municipal,Library,1520 Dorcheter Ave,02122,8410,65.5,Not Available,,Library,2000,53.3,6.3,550761.6,1.0000000508386933,,,,,,,Not Available,2016
813,FIFIELD,Municipal,K-12 School,20 Dunbar,02115,31654,59.1,96,,K-12 School,1916,111.3,3.5,1872001.6,0.14492603425125275,0.8550739880884717,,,,,,Not Available,2016
814,Finland Building,Municipal,Urgent Care/Clinic/Other Outpatient,754 Albany Street,02118,97268,79.6,Not Available,,Urgent Care/Clinic/Outpatient,2000,749.4,7.7,7746126.9,1.0000000284012904,,,,,,,Not Available,2016
815,Fire Academy Burn Building,Municipal,Fire Station,MOON-ISLAND ST,02169,2100,Not Available,Not Available,,Fire Station,2005,0,0,Not Available,,,,,,,,Not Available,2016
816,Fire Alarm,Municipal,Fire Station,59 Fenway,02115,13040,274.5,Not Available,,Fire Station,2000,260.3,20,3579880.3,0.44925533404007956,0.550744672747857,,,,,,Not Available,2016
817,First Church in Boston,Yes,Other - Entertainment/Public Assembly,66 Marlborough St.,02116,35776,77.9,Not Available,,"Other - Entertainment/Public Assembly, Parking",1972,173.2,4.8,2785945,0.21,0.79,,9.6,,,,Not Available,2016
818,Five Hundred Boylston Street,Yes,Office,500 Boylston St.,02116,744169,57.6,83,"2015, 2014, 2010, 2009, 2008, 2002, 2000","Office, Parking",1987,4148.5,5.6,42880492,1.0,,,15.9,,,,0401092000,"2014, 2015, 2016"
819,Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,02129,450000,26.6,88,,Multifamily Housing,1989,1113.8,2.5,11986503.7,0.91,0.09,,21.5,,,,0203505100,"2015, 2016"
820,Flaherty Pool,Municipal,Other - Recreation,160 Florence St,02131,15000,338.9,Not Available,,Other - Recreation,2000,335.2,22.3,5083147.8,0.2942168708924812,0.7057831505509244,,,,,,Not Available,2016
821,Flats on D,Yes,Multifamily Housing,411 D Street,02210,237984,71.5,Not Available,,"Multifamily Housing, Retail Store",2014,1345.3,5.7,17014617.9,0.59,0.41,,11.6,,"0602842000
",,0602842000,"2015, 2016"
822,Florence Apartments,Yes,Multifamily Housing,"84-90, 92-106, 108-130, 132-154, 156-166 Fawndale Road",02131,145643,76.2,98,,Multifamily Housing,1968,596.6,4.1,11092362,0.02,0.98,,83.1,,,,1903232000,"2015, 2016"
823,FOLIOBOSTON CONDOMINIUM TRUST,Yes,Multifamily Housing,80 Broad Street,02110,323789,41.5,97,,Multifamily Housing,2006,846.8,2.6,13446483.1,0.23,0.77,,11.5,,,,0303990010,"2015, 2016"
824,Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130,98205,81.1,89,,Multifamily Housing,1964,458.1,4.7,7963532.5,0.1,0.9,,7743.5,,,,1102906000,"2015, 2016"
825,Fort Point Place,Yes,Multifamily Housing,21 Wormwood Street,02210,100000,63,32,,Multifamily Housing,2000,511.9,5.1,6304059.6,0.64,0.36,,31.5,,,,0602753010,"2015, 2016"
826,Fortress-Boston Corporation,Yes,Self-Storage Facility,83 105 Boston St,02125,43104,61,Not Available,,Self-Storage Facility,1988,222.1,5.2,2630959,0.72,0.28,,1.4,,,,Not Available,2016
827,Four Seasons Place - Hotel/Condo Management,Yes,Hotel,200/220 Boylston Street,02116,798170,65.2,52,,"Hotel, Multifamily Housing, Parking",1980,4267.6,5.3,52024539.4,0.59,0.17,0.24,24.9,,"Four Seasons Place Assessing Parcel ID is  0501185000.  This benchmarking covers both hotel and condo properties as both are in the same building.

Gas - Direct Energy10073 is now Sprague Operating Resources LLC	79069000 effective 1/6/2015.  ",,0501185000,"2014, 2015, 2016"
828,FP 3,Yes,Multifamily Housing,346 Congress St,02210,93300,171.2,1,,Multifamily Housing,1996,1152.1,12.3,15976150.1,0.44,0.56,,3.9,,,,0602655010,"2015, 2016"
829,Franciscan Monastery of St Clare,Yes,Other - Lodging/Residential,920 Centre St,02130,60000,55.6,Not Available,,"Other - Lodging/Residential, Parking",1906,246.9,4.1,3337610.2,0.1,0.12,,7.2,,,,Not Available,"2014, 2015, 2016"
830,Franklin Highlands,Yes,Multifamily Housing,124 Ruthven Street,02121,324397,68.1,79,,Multifamily Housing,2001,1350.4,4.2,22096931.2,0.18,0.82,,43.5,,"According to the city's 2015 Property List, Franklin Highland is classified as ""Multiple Buildings Totaling Over 100,000 SF or 100 Units - All Required to Report."" Multiple service addresses across one development, including: 124 RUTHVEN ST, 79 HUTCHINGS ST, 109 HOMESTEAD ST, 125 HOMESTEAD ST, 155 HOMESTEAD ST, 278 HUMBOLDT AV, 11 BROOKLEDGE ST, 45 BROOKLEDGE ST, 51 BROOKLEDGE ST, 63 BROOKLEDGE ST, 180 SEAVER ST, 162 SEAVER ST, 154 SEAVER ST, 148 SEAVER ST, 144 SEAVER ST, 32 SEAVER ST",,1202220000,"2015, 2016"
831,Franklin Hill Corp PH1,Yes,Multifamily Housing,1 Shandon Road,02124,277643,11.6,100,,Multifamily Housing,1900,229.5,0.8,3223732.4,0.41,0.59,,1.9,,,,1404238010,"2015, 2016"
